"","Distrito","mean_pred","mean_ll","pred_ul","SE"
"298","Distrito Centro",16.7629647826936,16.5884193522931,16.9369547303771,"201735"
"299","Distrito Norte",16.2360322630804,16.0596277425484,16.4124014938732,"201735"
"300","Distrito Sul",17.0225388900637,16.8488349830272,17.1955683547477,"201735"
"301","Distrito Centro",17.3104365658349,17.1366383857571,17.4844878373395,"201835"
"302","Distrito Norte",17.0095266924754,16.8331096636331,17.1864753396435,"201835"
"303","Distrito Sul",17.343557879345,17.1708789008361,17.5163808507796,"201835"
"304","Distrito Centro",13.2850684934119,13.1098651341314,13.4593821016337,"201935"
"305","Distrito Norte",12.8787760120518,12.7017379169681,13.0550872426654,"201935"
"306","Distrito Sul",13.3714762735725,13.1985026402741,13.5442465749565,"201935"
"307","Distrito Centro",8.68662492102118,8.51251544723352,8.86150717403261,"202035"
"308","Distrito Norte",8.31351799830101,8.13719691067753,8.48987120784204,"202035"
"309","Distrito Sul",8.89524194731398,8.72253785002724,9.0682084402981,"202035"
"310","Distrito Centro",15.044587461078,14.8705409736525,15.2184511610601,"202135"
"311","Distrito Norte",14.8267864581662,14.6499258958026,15.0030131662926,"202135"
"312","Distrito Sul",15.1978676779861,15.0251503378997,15.3706516108384,"202135"
